curso,Redes
unidad,Unidad 1
tema,Redes y Comunicación

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Dispositivos,En un diagrama de red ¿qué suele simplificar una nube?,Un conjunto de dispositivos o redes,Un dispositivo que filtra paquetes,Un conjunto de dispositivos o redes,Un canal exclusivo para mensajes,Una red local de equipos
Dispositivos,¿Qué puede representar un enlace entre redes?,Una conexión entre redes como una WAN,Un equipo que dirige paquetes,Un conjunto de redes simplificado,Una conexión entre redes como una WAN,Un mecanismo para proteger una LAN
Comunicación,¿Qué describe la segmentación de un mensaje?,Dividir un mensaje grande en partes menores,Reservar un medio durante la transmisión,Intercalar mensajes de varios emisores,Enviar una señal por un solo canal,Dividir un mensaje grande en partes menores
Comunicación,¿Qué situación ilustra la multiplexación?,Varios mensajes comparten el mismo medio,Varios mensajes comparten el mismo medio,Un mensaje se divide en varios segmentos,Un circuito queda dedicado a un emisor,Un router separa redes diferentes
Comunicación,¿Cuál diferencia separa segmentación y multiplexación?,La segmentación divide mensajes y la multiplexación comparte el medio,La segmentación comparte medios y la multiplexación divide mensajes,La segmentación divide mensajes y la multiplexación comparte el medio,Ambas reservan recursos de transmisión,Ambas usan una sola señal en el canal
Ancho de banda,¿Qué mide el ancho de banda de una red?,La cantidad de información que puede fluir por tiempo,La distancia máxima entre dispositivos,El número de redes conectadas al router,La cantidad de información que puede fluir por tiempo,La cantidad de reglas de transmisión
Ancho de banda,¿Qué consecuencia tiene disponer de mayor ancho de banda?,Existe mayor capacidad para transportar información,La comunicación se limita a una LAN,La red usa necesariamente más circuitos,La red transmite solo señales digitales,Existe mayor capacidad para transportar información
Transmisión,¿Qué característica define la transmisión en serie?,Los datos se transmiten secuencialmente,Los datos se transmiten secuencialmente,Varios bits se transmiten al mismo tiempo,Varias señales ocupan canales distintos,Los sentidos de transmisión se alternan
Transmisión,¿Qué característica define la transmisión en paralelo?,Varios bits pueden transmitirse simultáneamente,Los datos viajan uno detrás de otro,Varios bits pueden transmitirse simultáneamente,Una señal usa todo el canal,Un emisor reserva el medio completo
Transmisión,¿Qué tipo de transmisión usa datos binarios?,La transmisión digital,La transmisión analógica,La transmisión en serie,La transmisión digital,La transmisión simplex
Transmisión,¿Qué tipo de transmisión se asocia con señales como la voz?,La transmisión analógica,La transmisión digital,La transmisión en paralelo,La transmisión full duplex,La transmisión analógica
Transmisión,¿Qué condición corresponde a la banda base?,Una sola señal utiliza el canal,Una sola señal utiliza el canal,Varias señales se distribuyen en canales,Un circuito conecta dos redes,Un medio combina comunicaciones
Transmisión,¿Qué capacidad caracteriza a la banda ancha?,Transportar varias señales,Reservar un camino de comunicación,Transportar varias señales,Transmitir en un único sentido,Enviar datos solo en serie
Modos,¿En qué modo la comunicación avanza en un único sentido?,Simplex,Half duplex,Full duplex,Simplex,Banda base
Modos,¿Qué modo permite ambos sentidos pero no al mismo tiempo?,Half duplex,Simplex,Full duplex,Banda ancha,Half duplex
Modos,¿Qué modo permite transmitir y recibir simultáneamente?,Full duplex,Full duplex,Half duplex,Simplex,Transmisión en paralelo
Modos,¿Qué ejemplo se ajusta al modo half duplex?,Un walkie-talkie,Una radiodifusión de televisión,Un walkie-talkie,Una llamada telefónica,Una transmisión en paralelo
Tipos de redes,¿Qué tipo de red corresponde a una casa oficina o campus?,LAN,MAN,WAN,LAN,Extranet
Tipos de redes,¿Qué tipo de red puede conectar varias LAN en una ciudad?,MAN,LAN,WAN,Intranet,MAN
Tipos de redes,¿Qué tipo de red cubre ciudades o países distantes?,WAN,WAN,MAN,LAN,Extranet
Acceso,¿Qué opción distingue correctamente Internet Intranet y Extranet?,Internet es global Intranet es interna y Extranet habilita externos autorizados,Internet es interna e Intranet es global,Internet es global Intranet es interna y Extranet habilita externos autorizados,Extranet es global e Internet es privada,Intranet permite proveedores e Internet es restringida
Acceso,¿Qué acceso caracteriza a una intranet?,Acceso limitado a personas de una organización,Acceso global a cualquier persona,Acceso de redes en varias ciudades,Acceso limitado a personas de una organización,Acceso exclusivo mediante circuitos
