curso,Sistemas Operativos
unidad,Unidad 1
tema,Estructura de los Sistemas Operativos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Eventos,¿Cuál situación constituye una excepción síncrona?,Un fallo de página causado por la instrucción actual,La señal periódica del temporizador,La llegada de un paquete de red,Un fallo de página causado por la instrucción actual,La finalización de una transferencia DMA
Eventos,Después de identificar y atender una causa ¿qué decisión puede tomar el manejador?,Reanudar reintentar o terminar la ejecución afectada,Modificar permanentemente el firmware,Convertir toda excepción en llamada al sistema,Deshabilitar toda planificación futura,Reanudar reintentar o terminar la ejecución afectada
Arranque,¿Qué etapa inicia normalmente la cadena de arranque?,El firmware inicializa el hardware,El firmware inicializa el hardware,El primer proceso de usuario monta la raíz,El cargador crea servicios de red,El kernel selecciona el firmware
Arranque,¿Cuál es la responsabilidad principal del cargador en la secuencia descrita?,Ubicar el kernel en memoria,Validar permisos de cada usuario,Ubicar el kernel en memoria,Atender interrupciones de E/S,Crear los procesos de aplicación
Arranque,Antes de montar el sistema raíz ¿qué configura el kernel?,CPU memoria interrupciones y controladores,Las cuentas y contraseñas del sistema,El gestor de ventanas inicial,CPU memoria interrupciones y controladores,Los servicios que usarán sockets remotos
Arranque,¿Qué fallo ocurre después de cargar el kernel pero antes de iniciar servicios normales?,El kernel no puede montar el sistema raíz,El firmware no detecta un dispositivo,El cargador no encuentra el kernel,El primer proceso de usuario termina,El kernel no puede montar el sistema raíz
Subsistemas,¿Qué responsabilidad corresponde al subsistema de procesos e hilos?,Creación estados y planificación,Creación estados y planificación,Nombres metadatos y caché,Búferes controladores e interrupciones,Permisos auditoría e identidad
Subsistemas,¿Qué grupo pertenece al subsistema de memoria?,Espacios virtuales páginas y protección,Protocolos interfaces y sockets,Espacios virtuales páginas y protección,Relojes temporizadores y límites,Nombres persistencia y metadatos
Subsistemas,¿Qué combinación caracteriza al subsistema de Entrada/Salida?,Controladores interrupciones y búferes,Cuotas permisos y auditoría,Espacios de direcciones y páginas,Controladores interrupciones y búferes,Procesos hilos y planificación
Subsistemas,¿Qué ofrece la observabilidad como servicio transversal?,Contadores trazas y registros,Control exclusivo de la CPU,Traducción de direcciones virtuales,Creación de sockets de usuario,Contadores trazas y registros
Monolítico,¿Qué rasgo explica el dominio de fallo amplio de un núcleo monolítico?,Los servicios comparten un espacio privilegiado,Los servicios comparten un espacio privilegiado,Cada controlador se ejecuta como proceso usuario,Las capas no pueden llamar hacia abajo,Las bibliotecas definen el hardware físico
Capas,¿Qué regla organiza una arquitectura por capas?,Cada capa usa la inferior y ofrece a la superior,Cada capa ejecuta siempre en modo usuario,Cada capa usa la inferior y ofrece a la superior,Las capas comparten todas sus estructuras sin interfaz,La capa superior controla directamente el hardware
Capas,¿Qué límite práctico puede aparecer en una arquitectura por capas?,Una capa inferior puede ocultar información útil,Los fallos nunca pueden aislarse,Las capas eliminan toda sobrecarga,Una capa inferior puede ocultar información útil,Las capas impiden reemplazar componentes
Microkernel,¿Qué conjunto permanece típicamente dentro de un microkernel?,Planificación espacios de direcciones comunicación e interrupciones básicas,Archivos red y controladores,Interfaces gráficas y sesiones,Bibliotecas de aplicación y compiladores,Planificación espacios de direcciones comunicación e interrupciones básicas
Microkernel,¿Qué ventaja procede de mover servicios fuera del dominio privilegiado?,Aislamiento y reinicio independiente de servicios,Aislamiento y reinicio independiente de servicios,Eliminación de toda copia de datos,Ausencia de cambios de contexto,Acceso directo de aplicaciones al hardware
Modular,¿Qué capacidad distingue a un núcleo modular?,Cargar componentes durante la ejecución,Crear una máquina virtual por proceso,Cargar componentes durante la ejecución,Ejecutar módulos solo en espacio usuario,Eliminar toda dependencia de versiones
Modular,¿Qué afirmación evita confundir modularidad con aislamiento?,Los módulos siguen dentro del dominio del núcleo,Los módulos se comunican solo por red,Los módulos no pueden contener controladores,Los módulos siguen dentro del dominio del núcleo,Los módulos reducen automáticamente la base confiable
Híbrida,¿Qué describe mejor una arquitectura híbrida?,Mantiene servicios críticos privilegiados por rendimiento o compatibilidad,Obliga a que todos los servicios sean externos,Elimina módulos para simplificar el análisis,Usa una sola estrategia para cada carga,Mantiene servicios críticos privilegiados por rendimiento o compatibilidad
Exokernel,¿Cuál es el papel central de un exokernel?,Protege y multiplexa recursos físicos sin imponer abstracciones de alto nivel,Protege y multiplexa recursos físicos sin imponer abstracciones de alto nivel,Implementa todos los sistemas de archivos en kernel,Reserva un circuito para cada comunicación,Centraliza cada política en el firmware
Exokernel,En un exokernel ¿quién construye las abstracciones de alto nivel?,Las bibliotecas en espacio de usuario,El cargador antes de iniciar el kernel,Las bibliotecas en espacio de usuario,El manejador de cada interrupción,Los controladores dentro del núcleo
Base confiable,¿Qué incluye la base de cómputo confiable?,Los componentes cuya falla puede violar la seguridad,Las aplicaciones que usan más memoria,Los procesos que terminan primero,Los componentes cuya falla puede violar la seguridad,Los archivos almacenados en caché
Rendimiento,Antes de atribuir una latencia a un componente ¿qué análisis es necesario?,Seguir la ruta completa de la operación,Contar solo las llamadas de la API,Medir únicamente la velocidad del dispositivo,Ignorar cruces y copias para simplificar,Seguir la ruta completa de la operación
