curso,Sistemas Operativos
unidad,Unidad 1
tema,Procesos pesados y livianos

categoria,pregunta,respuesta,alternativa 1,alternativa 2,alternativa 3,alternativa 4
Hilos,¿Qué estado conserva cada hilo aunque comparta recursos?,Su contador de programa registros y pila,La misma región BSS,El mismo archivo ejecutable,El mismo mapa de memoria físico,Su contador de programa registros y pila
Proceso versus hilo,¿Qué intercambio resume mejor la elección entre procesos e hilos?,Los procesos aíslan más y los hilos comparten más recursos,Los procesos aíslan más y los hilos comparten más recursos,Los procesos comparten heap y los hilos no,Los procesos evitan coordinación y los hilos no,Los procesos siempre crean menos memoria
Modelos de hilos,¿Qué caracteriza a los hilos a nivel de usuario?,Una biblioteca administra creación y cambios,El kernel planifica cada hilo directamente,Una biblioteca administra creación y cambios,Cada hilo usa obligatoriamente un proceso,Los hilos no tienen estado de ejecución
Modelos de hilos,¿Qué limitación tiene el modelo muchos a uno?,Si se bloquea el hilo de kernel todos se afectan,Cada hilo obtiene un núcleo físico,El kernel conoce y planifica cada hilo,Los hilos de usuario no comparten datos,Si se bloquea el hilo de kernel todos se afectan
Modelos de hilos,¿Qué relación define al modelo uno a uno?,Cada hilo de usuario corresponde a un hilo de kernel,Varios hilos de usuario usan un hilo de kernel,Un hilo de kernel administra varios procesos,Cada hilo de usuario corresponde a un hilo de kernel,Las bibliotecas eliminan el trabajo del kernel
Modelos de hilos,¿Qué beneficio busca el modelo muchos a muchos?,Equilibrar paralelismo y costo con mayor flexibilidad,Evitar todo cambio de contexto,Compartir una única pila entre hilos,Impedir el paralelismo del kernel,Equilibrar paralelismo y costo con mayor flexibilidad
Concurrencia,¿Qué puede existir aun con un solo núcleo?,Concurrencia mediante intercalado,Concurrencia mediante intercalado,Paralelismo de dos tareas simultáneas,Ejecución física en varios procesadores,Ausencia de cambios de contexto
Concurrencia,¿Qué condición es necesaria para que haya paralelismo?,Varias unidades de procesamiento,Una cola FIFO de procesos,Varias unidades de procesamiento,Un único hilo de kernel,Un proceso bloqueado por E/S
Condición de carrera,¿Qué hace que una condición de carrera sea incorrecta?,El resultado depende del orden de ejecución,El proceso usa demasiada memoria,El hilo cambia de estado a listo,El resultado depende del orden de ejecución,La cola de espera no usa prioridad
Medición,¿Qué método respalda una comparación de threading y multiprocessing?,Repetir mediciones y usar la mediana,Repetir mediciones y usar la mediana,Ignorar el tamaño de los datos compartidos,Usar solo tareas de CPU,Medir una sola ejecución para evitar ruido
